Component Name,Value,Part Name,Description,Footprint,Part Number,
C1,"100pF","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C2,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C7,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C8,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C9,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C10,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C11,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C12,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C13,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C14,"0.1","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
C3,"47.0","C_SMD_POL1","Capacitor Polarised","SMD_0607","",
C4,"47.0","C_SMD_POL1","Capacitor Polarised","SMD_0607","",
C5,"10uFx16","C_TANTALUM","Capacitor Tantalum","C_TYPE_A","",
C6,"0.1uF","C 0805","Capacitor, Surface Mount Multi-Layer Ceramic","SM0805","",
D1,"","NUP2105L","CAN Protect","SOT-23_MC","",
DA1,"","MC34063ABD","SW regulator","SOP8_MC","",
DA2,"","ADUM1250","Isolator","SOIC8","",
DA3,"","ADUM1250","Isolator","SOIC8","",
DA4,"","ADUM1250","Isolator","SOIC8","",
DA5,"","ADUM1250","Isolator","SOIC8","",
F1,"","FUSE_MF-R","Fuse","FUSE(5MM)","",
J1,"","J2","Jumper","HDR2_J2","",
J2,"","J2","Jumper","HDR2_J2","",
X8,"","J2","Jumper","HDR2_J2","",
L1,"220uH","CDRH127","Inductor","CDRH127","",
R1,"3.6K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R2,"0.33","R 0.25W SMTF","Thick Film Surface Mount Resistor","SM1206","",
R3,"1.2K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R4,"0R","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R5,"0R","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R6,"0R","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R7,"1M","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R8,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R9,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R10,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R11,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R12,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R13,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R14,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R15,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R16,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R17,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R18,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R19,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R20,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R21,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R22,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R23,"4.7K","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R24,"0","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
R25,"0","R 0.1W SMTF","Thick Film Surface Mount Resistor","SM0805","",
U1,"","SBT01","Power supplay","SBT01","",
VD1,"","VS-10MQ100N","Diode main","DO_SMA","",
VD2,"","VS-10MQ100N","Diode main","DO_SMA","",
VD3,"","SMBJ26A","Zener Diode","DO_SMB","",
X1,"","HDR4","Connector","HDR4","",
X2,"","HDR4","Connector","HDR4","",
X3,"","HDR4","Connector","HDR4","",
X4,"","HDR3","Connector","HDR-1X3H-SKTB","",
X5,"","CON9_EDG","CONN PLUG 9POS AWG28 STRAIGHT","CON9_EDG","",
X6,"","HDR1","Connector","HDR2_J1-SKTB","",
X7,"","CON4_EDG","CONN PLUG 4POS AWG28 STRAIGHT","CON4_EDG","",
